learning_rate,reg_alpha,reg_lambda,gamma,max_depth,min_child_weight,subsample,objective,nthread,max_delta_step,Accuracy,AUC Score (Train),Precision,Recall,f1-score,cv mean,cv Std,cv min,cv max
0.1,0.5,0.5,1,3,1,0.9,binary:logistic,-1,0,0.9900990099009901,1.0,1.0,0.9166666666666666,0.9565217391304348,0.792714424951267,0.09555620622064956,0.6666666666666667,0.9473684210526316
0.1,0.5,0.5,1,4,1,0.9,binary:logistic,-1,0,0.9801980198019802,1.0,1.0,0.8333333333333334,0.9090909090909091,0.7980882352941177,0.17604690424768665,0.5098039215686274,1.0
0.1,0.5,0.5,1,5,1,0.9,binary:logistic,-1,0,0.9801980198019802,1.0,1.0,0.8333333333333334,0.9090909090909091,0.7751633986928106,0.12676453317415576,0.6274509803921569,1.0
0.1,0.5,0.5,1,6,1,0.9,binary:logistic,-1,0,0.9801980198019802,1.0,1.0,0.8333333333333334,0.9090909090909091,,,,
0.1,0.5,0.5,1,7,1,0.9,binary:logistic,-1,0,0.9801980198019802,1.0,1.0,0.8333333333333334,0.9090909090909091,,,,
0.1,0.5,0.5,1,8,1,0.9,binary:logistic,-1,0,0.9801980198019802,1.0,1.0,0.8333333333333334,0.9090909090909091,,,,
0.1,0.5,0.5,2,3,1,0.9,binary:logistic,-1,0,0.9306930693069307,0.999063670411985,1.0,0.4166666666666667,0.5882352941176471,0.6875429996560027,0.13680424049202114,0.42105263157894735,0.8125
0.1,0.5,0.5,2,4,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.7359530873753011,0.14614593425114492,0.5657894736842106,0.9305555555555556
0.1,0.5,0.5,2,5,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.698013415892673,0.15820041301737295,0.45833333333333337,0.9166666666666667
0.1,0.5,0.5,2,6,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,,,,
0.1,0.5,0.5,2,7,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.7192810457516339,0.18543095315223182,0.3611111111111111,0.9019607843137254
0.1,0.5,0.5,2,8,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.8052287581699347,0.17229197034885707,0.5555555555555556,1.0
0.1,0.5,0.5,3,3,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.99812734082397,1.0,0.25,0.4,0.7439766081871345,0.17713397199312658,0.4722222222222222,1.0
0.1,0.5,0.5,3,4,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.9962546816479402,1.0,0.25,0.4,,,,
0.1,0.5,0.5,3,5,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.9962546816479402,1.0,0.25,0.4,,,,
0.1,0.5,0.5,3,6,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.9962546816479402,1.0,0.25,0.4,,,,
0.1,0.5,0.5,3,7,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.9962546816479402,1.0,0.25,0.4,,,,
0.1,0.5,0.5,3,8,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.9962546816479402,1.0,0.25,0.4,0.669642242862057,0.09340440030945904,0.5263157894736843,0.784313725490196
0.1,0.5,0.5,4,3,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9943820224719101,1.0,0.16666666666666666,0.2857142857142857,,,,
0.1,0.5,0.5,4,4,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078651,1.0,0.16666666666666666,0.2857142857142857,0.6284657722738218,0.1953499948456357,0.38888888888888884,0.9722222222222223
0.1,0.5,0.5,4,5,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078651,1.0,0.16666666666666666,0.2857142857142857,,,,
0.1,0.5,0.5,4,6,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078651,1.0,0.16666666666666666,0.2857142857142857,0.655718954248366,0.2321283030186678,0.33333333333333337,1.0
0.1,0.5,0.5,4,7,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078651,1.0,0.16666666666666666,0.2857142857142857,0.7600739594083248,0.12738952882955065,0.631578947368421,1.0
0.1,0.5,0.5,4,8,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078651,1.0,0.16666666666666666,0.2857142857142857,0.7091520467836258,0.13263815386407446,0.5138888888888888,0.8947368421052632
0.1,0.5,0.5,5,3,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9873595505617978,0.0,0.0,0.0,0.7104976135190919,0.11708164528454111,0.5392156862745098,0.8947368421052632
0.1,0.5,0.5,5,4,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,0.6232112143102855,0.10160973423688187,0.5,0.8014705882352942
0.1,0.5,0.5,5,5,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,0.7104327485380117,0.09125974558808966,0.5789473684210527,0.8421052631578949
0.1,0.5,0.5,5,6,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,0.7435586515307877,0.18440126493828501,0.4509803921568627,0.9473684210526315
0.1,0.5,0.5,5,7,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,,,,
0.1,0.5,0.5,5,8,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,,,,
0.1,0.5,0.6,1,3,1,0.9,binary:logistic,-1,0,0.9801980198019802,1.0,1.0,0.8333333333333334,0.9090909090909091,0.8445723684210528,0.15514324093480916,0.59375,1.0
0.1,0.5,0.6,1,4,1,0.9,binary:logistic,-1,0,0.9603960396039604,1.0,1.0,0.6666666666666666,0.8,,,,
0.1,0.5,0.6,1,5,1,0.9,binary:logistic,-1,0,0.9603960396039604,1.0,1.0,0.6666666666666666,0.8,0.7354738562091503,0.1192706191163214,0.6111111111111112,0.9444444444444444
0.1,0.5,0.6,1,6,1,0.9,binary:logistic,-1,0,0.9603960396039604,1.0,1.0,0.6666666666666666,0.8,,,,
0.1,0.5,0.6,1,7,1,0.9,binary:logistic,-1,0,0.9603960396039604,1.0,1.0,0.6666666666666666,0.8,0.7691503267973856,0.12026314292624825,0.5686274509803921,0.888888888888889
0.1,0.5,0.6,1,8,1,0.9,binary:logistic,-1,0,0.9603960396039604,1.0,1.0,0.6666666666666666,0.8,0.7654014017887857,0.14167826421236618,0.5789473684210527,1.0
0.1,0.5,0.6,2,3,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.9990636704119851,1.0,0.5,0.6666666666666666,0.726592363261094,0.15400380154383125,0.5263157894736843,1.0
0.1,0.5,0.6,2,4,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.7487512899896801,0.11165540901537155,0.55,0.8947368421052632
0.1,0.5,0.6,2,5,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,,,,
0.1,0.5,0.6,2,6,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,,,,
0.1,0.5,0.6,2,7,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,,,,
0.1,0.5,0.6,2,8,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.7277949776401789,0.11804914020218904,0.5,0.8431372549019608
0.1,0.5,0.6,3,3,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.6684046052631579,0.08843987821406137,0.5625,0.775
0.1,0.5,0.6,3,4,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9962546816479402,1.0,0.16666666666666666,0.2857142857142857,0.6971587977296181,0.1349899937470244,0.5,0.859375
0.1,0.5,0.6,3,5,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9962546816479402,1.0,0.16666666666666666,0.2857142857142857,0.761437908496732,0.13900706237507895,0.5694444444444444,1.0
0.1,0.5,0.6,3,6,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9962546816479402,1.0,0.16666666666666666,0.2857142857142857,0.7051599587203302,0.15907562751262738,0.4411764705882353,0.8529411764705881
0.1,0.5,0.6,3,7,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9962546816479402,1.0,0.16666666666666666,0.2857142857142857,0.7510061919504644,0.13204107518766872,0.5294117647058824,0.8947368421052632
0.1,0.5,0.6,3,8,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9962546816479402,1.0,0.16666666666666666,0.2857142857142857,0.7085730994152047,0.07604862918930974,0.6111111111111112,0.8133333333333334
0.1,0.5,0.6,4,3,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9897003745318351,1.0,0.16666666666666666,0.2857142857142857,0.7109722836503023,0.20657320800626444,0.4736842105263158,1.0
0.1,0.5,0.6,4,4,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078652,1.0,0.16666666666666666,0.2857142857142857,0.660672514619883,0.17790309491280795,0.3194444444444445,0.8137254901960784
0.1,0.5,0.6,4,5,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078652,1.0,0.16666666666666666,0.2857142857142857,0.7498968008255934,0.12918578835307434,0.5833333333333333,0.9210526315789473
0.1,0.5,0.6,4,6,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078652,1.0,0.16666666666666666,0.2857142857142857,0.7659625472996217,0.14559736225905826,0.546875,1.0
0.1,0.5,0.6,4,7,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078652,1.0,0.16666666666666666,0.2857142857142857,,,,
0.1,0.5,0.6,4,8,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9915730337078652,1.0,0.16666666666666666,0.2857142857142857,0.6692874957000343,0.10145861375174767,0.53125,0.8421052631578947
0.1,0.5,0.6,5,3,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138576,0.0,0.0,0.0,,,,
0.1,0.5,0.6,5,4,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,0.6826109391124872,0.1459167395282643,0.4473684210526316,0.8823529411764706
0.1,0.5,0.6,5,5,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,0.8287882696938423,0.17226611982187373,0.5098039215686274,0.986111111111111
0.1,0.5,0.6,5,6,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,0.718421052631579,0.1350535386239841,0.5833333333333334,0.9473684210526316
0.1,0.5,0.6,5,7,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,,,,
0.1,0.5,0.6,5,8,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9911048689138577,0.0,0.0,0.0,0.7355263157894736,0.180017630763584,0.4605263157894737,1.0
0.1,0.5,0.7,1,3,1,0.9,binary:logistic,-1,0,0.9702970297029703,1.0,1.0,0.75,0.8571428571428571,0.6802941176470588,0.17411230933123037,0.368421052631579,0.8431372549019607
0.1,0.5,0.7,1,4,1,0.9,binary:logistic,-1,0,0.9702970297029703,0.9999999999999999,1.0,0.75,0.8571428571428571,0.7428070175438596,0.14115347999370267,0.5555555555555556,0.9473684210526316
0.1,0.5,0.7,1,5,1,0.9,binary:logistic,-1,0,0.9702970297029703,0.9999999999999999,1.0,0.75,0.8571428571428571,0.8197434763379036,0.07315576404532248,0.7,0.8947368421052632
0.1,0.5,0.7,1,6,1,0.9,binary:logistic,-1,0,0.9702970297029703,0.9999999999999999,1.0,0.75,0.8571428571428571,,,,
0.1,0.5,0.7,1,7,1,0.9,binary:logistic,-1,0,0.9702970297029703,0.9999999999999999,1.0,0.75,0.8571428571428571,,,,
0.1,0.5,0.7,1,8,1,0.9,binary:logistic,-1,0,0.9702970297029703,0.9999999999999999,1.0,0.75,0.8571428571428571,,,,
0.1,0.5,0.7,2,3,1,0.9,binary:logistic,-1,0,0.9306930693069307,0.9981273408239699,1.0,0.4166666666666667,0.5882352941176471,0.7129493464052288,0.03676370732122487,0.65625,0.75
0.1,0.5,0.7,2,4,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.6724671052631579,0.11105321619950885,0.5,0.8500000000000001
0.1,0.5,0.7,2,5,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.6894507510606582,0.22800446693774712,0.26315789473684215,0.888888888888889
0.1,0.5,0.7,2,6,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.689108187134503,0.10332844751271376,0.5625,0.8611111111111112
0.1,0.5,0.7,2,7,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,,,,
0.1,0.5,0.7,2,8,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.999063670411985,1.0,0.5,0.6666666666666666,0.5910107069143447,0.05069882985129756,0.5263157894736843,0.671875
0.1,0.5,0.7,3,3,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.6003316133470933,0.1409979811784124,0.4736842105263158,0.8611111111111112
0.1,0.5,0.7,3,4,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.7365555555555556,0.11068607594186095,0.5555555555555556,0.8500000000000001
0.1,0.5,0.7,3,5,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.7543585526315789,0.12457324433268638,0.5546875,0.8888888888888888
0.1,0.5,0.7,3,6,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.7663398692810459,0.13072712392771205,0.6274509803921569,1.0
0.1,0.5,0.7,3,7,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.6755525455796354,0.13974736636208082,0.46875,0.8947368421052632
0.1,0.5,0.7,3,8,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.6622105263157895,0.25634165071878606,0.1578947368421053,0.8611111111111112
0.1,0.5,0.7,4,3,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9859550561797753,1.0,0.16666666666666666,0.2857142857142857,0.6815617475060199,0.08347037402372569,0.5277777777777778,0.75
0.1,0.5,0.7,4,4,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9943820224719101,1.0,0.16666666666666666,0.2857142857142857,,,,
0.1,0.5,0.7,4,5,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9943820224719101,1.0,0.16666666666666666,0.2857142857142857,0.7473340213278294,0.0748137420806213,0.6388888888888888,0.8602941176470589
0.1,0.5,0.7,4,6,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9943820224719101,1.0,0.16666666666666666,0.2857142857142857,0.6955882352941176,0.1429655459769749,0.4444444444444444,0.888888888888889
0.1,0.5,0.7,4,7,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9943820224719101,1.0,0.16666666666666666,0.2857142857142857,0.8182795120972367,0.1603431503814684,0.578125,1.0
0.1,0.5,0.7,4,8,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9943820224719101,1.0,0.16666666666666666,0.2857142857142857,0.6850834193326454,0.11742963074653101,0.5625,0.8947368421052632
0.1,0.5,0.7,5,3,1,0.9,binary:logistic,-1,0,0.8910891089108911,0.9836142322097378,1.0,0.08333333333333333,0.15384615384615385,,,,
0.1,0.5,0.7,5,4,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9864232209737828,0.0,0.0,0.0,,,,
0.1,0.5,0.7,5,5,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9864232209737828,0.0,0.0,0.0,0.6866789215686274,0.20336861202794843,0.38235294117647056,0.9027777777777778
0.1,0.5,0.7,5,6,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9864232209737828,0.0,0.0,0.0,0.7110068369453044,0.18061734903778282,0.4473684210526316,0.8947368421052632
0.1,0.5,0.7,5,7,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9864232209737828,0.0,0.0,0.0,0.7304506363949089,0.09489545119744543,0.6,0.8947368421052632
0.1,0.5,0.7,5,8,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9864232209737828,0.0,0.0,0.0,,,,
0.1,0.5,0.8,1,3,1,0.9,binary:logistic,-1,0,0.9702970297029703,1.0,1.0,0.75,0.8571428571428571,0.6917458576998051,0.2241963318061655,0.3157894736842105,0.9814814814814814
0.1,0.5,0.8,1,4,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,0.6776014791881665,0.10962350854562575,0.5277777777777778,0.7894736842105263
0.1,0.5,0.8,1,5,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,,,,
0.1,0.5,0.8,1,6,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,,,,
